Area_code,Area_name,Pop_Mid_2020,Area_(sq_km),2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 
E92000001,England,56550138,"130,310",434,0.124,55087,30006,256168
E12000007,London,9002488,"1,572","5,727",0.134,268854,36899,535227
E12000007,London,9002488,"1,572","5,727",0.134,268854,36899,535227
-,Rest of England,,,,,,,
E12000001,North East,"2,680,763","8,581",312,0.18,23774,27656,134531
E12000002,North West,"7,367,456","14,108",522,0.151,27688,29248,160039
E12000003,Yorkshire and The Humber,"5,526,350","15,404",359,0.129,26405,27947,174307
E12000004,East Midlands,"4,865,583","15,624",311,0.11,25421,28045,190720
E12000005,West Midlands,"5,961,929","12,998",459,0.123,28688,28792,206679
E12000006,East of England,"6,269,161","19,116",328,0.101,30909,30592,308723
E12000008,South East,"9,217,265","19,072",483,0.09,35418,32254,339694
E12000009,South West,"5,659,143","23,836",237,0.1,28627,28618,255592
E07000223,Adur,"64,187",42,"1,526",0.108,"21,789","27,196","317,250"
E07000032,Amber Valley,"128,829",265,485,0.109,"24,865","28,285","170,000"
E07000224,Arun,"161,123",221,729,0.104,"18,389","25,208","282,000"
E07000170,Ashfield,"128,337",110,"1,171",0.152,"25,506","27,374","143,000"
E07000105,Ashford,"131,018",581,226,0.11,"28,532","28,754","280,000"
E07000200,Babergh,"92,735",594,156,0.08,"23,061","26,612","274,750"
E09000002,Barking and Dagenham,"214,107",36,"5,931",0.194,"19,934","32,821","320,000"
E09000003,Barnet,"399,007",87,"4,599",0.111,"27,311","32,030","555,000"
E08000016,Barnsley,"248,071",329,754,0.169,"19,445","27,048","129,000"
E07000027,Barrow-in-Furness,"66,726",78,857,0.159,"30,828","36,340","125,000"
E07000066,Basildon,"187,558",110,"1,705",0.138,"34,973","31,947","300,000"
E07000084,Basingstoke and Deane,"177,760",634,280,0.071,"44,484","35,976","305,000"
E07000171,Bassetlaw,"118,280",638,185,0.122,"23,271","26,458","155,000"
E06000022,Bath and North East Somerset,"196,357",346,568,0.079,"26,427","30,498","320,000"
E06000055,Bedford,"174,687",476,367,0.114,"28,926","32,013","270,000"
E09000004,Bexley,"249,301",61,"4,115",0.106,"29,819","30,913","366,000"
E08000025,Birmingham,"1,140,525",268,"4,259",0.222,"27,003","33,179","180,000"
E07000129,Blaby,"101,950",130,781,0.069,"40,282","31,045","223,150"
E06000008,Blackburn with Darwen,"150,030",137,"1,095",0.212,"23,885","24,761","115,000"
E06000009,Blackpool,"138,381",35,"3,968",0.247,"23,099","24,784","115,000"
E07000033,Bolsover,"81,305",160,507,0.147,"29,528","27,577","125,000"
E08000001,Bolton,"288,248",140,"2,062",0.186,"23,623","25,412","140,000"
E07000136,Boston,"70,837",364,195,0.128,"24,275","24,582","160,000"
E06000058,"Bournemouth, Christchurch and Poole","396,989",162,"2,449",0.112,"30,084","29,207","286,000"
E06000036,Bracknell Forest,"124,165",109,"1,135",0.068,"46,847","41,770","335,000"
