Area_code,Area_name,Total initial assessments,Total owed a prevention or relief duty,Total owed a relief duty,Total owed a prevention duty,Total,,White: English / Welsh / Scottish / Northern Irish / British,,White: Irish,,White: Gypsy or Irish Traveller,,Any other White ethnic group,,Total,,Black / African / Caribbean / Black British: African,,Black / African / Caribbean / Black British: Caribbean,,Any other Black / African / Caribbean background,,Total,,Asian / Asian British: Pakistani,,Asian / Asian British: Indian,,Asian / Asian British: Bangladeshi,,Asian / Asian British: Chinese,,Any other Asian background,,Total,,Mixed / Multiple ethnic groups: White and Black Caribbean,,Mixed / Multiple ethnic groups: White and Black African,,Mixed / Multiple ethnic groups: White and Asian,,Any other Mixed / Multiple ethnic background,,Total,,Other ethnic group: Arab,,Any other ethnic group,,Not known,,Heterosexual / Straight,Homosexual (Gay/Lesbian),Other,Prefer not to say,Not known,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,Other,Not known,UK,,Ireland,,"A8, A2 &
 Croatia(A8: Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia, and Slovenia, A2: Bulgaria and Romania)",,"Other EEA(Austria, Belgium, Cyprus, Denmark, Finland, France, Germany, Greece, Iceland, Italy, Liechtenstein, Luxembourg, Malta, Netherlands, Norway, Portugal, Spain, Sweden, and Switzerland)",,Non-EEA,,Not known,,16-17,%,18-24,%,25-34,%,35-44,%,45-54,%,55-64,%,65-74,%,75+,%,Not known1,%,Single parent with dependent children male,,Single parent with dependent children female,,Single parent with dependent children other gender,,Single adult male,,Single adult female,,Single adult male other gender,,Couple / two adults with dependent children,,Couple / two adults without dependent children,,Three or more adults with dependent children,,Three or more adults without dependent children,,Not known,,Total owed a relief duty,Total Private rented sector,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),Total Social rented sector,"Council 
tenant",Registered provider tenant,Supported housing / hostel,Owner-occupier / shared ownership,Living with family,Living with friends,Temporary accommodation,"No fixed
 abode3","Rough
 sleeping",Refuge,National Asylum Seeker Support (NASS) accommodation,Total homeless on departure from institution,Custody,"General 
hospital",Psychiatric hospital,Other / not known
E92000001,England,"282,240","268,560","149,160","119,400","187,000",0.70 ,"172,600",0.64 ,"1,690",0.01 ,830,0.00 ,"11,880",0.04 ,"25,920",0.10 ,"15,550",0.06 ,"7,630",0.03 ,"2,740",0.01 ,"15,150",0.06 ,"5,480",0.02 ,"2,590",0.01 ,"2,810",0.01 ,370,0.00 ,"3,900",0.01 ,"8,470",0.03 ,"4,380",0.02 ,"1,420",0.01 ,930,0%,"1,740",0.01 ,"8,720",0.03 ,"2,410",0.01 ,"6,310",0.02 ,"23,330",0.09 ,"185,220","4,000","7,320","61,840","10,190","32,400","25,810","4,010","104,640","11,200","19,450","38,300","5,570","11,650","15,540","230,280",86%,640,0%,"7,980",0.03 ,"6,520",0.02 ,"16,740",0.06 ,"6,410",0.02 ,"2,630",0.01 ,"58,830",0.22 ,"85,930",0.32 ,"60,640",0.23 ,"35,770",0.13 ,"16,960",0.06 ,"5,490",0.02 ,"2,130",0.01 ,180,0.00 ,"6,120",0.05 ,"52,800",0.41 ,430,0.00 ,"117,920",0.86 ,"59,770",0.45 ,"1,340",0.01 ,14190,0.11 ,12610,0.10 ,1580,0.01 ,1720,0.01 ,90,0.00 ,268560,48620,39550,6010,3070,25310,6790,8330,10200,3060,76030,30560,5880,33450,11720,3270,2490,12390,8630,1830,1960,
E12000007,London,"54,890","51,760","27,770","23,990","16,030",0.31 ,"11,380",0.22 ,470,0.01 ,110,0.00 ,"4,070",0.08 ,"15,620",0.30 ,"9,230",0.18 ,"4,890",0.09 ,"1,500",0.03 ,"5,890",0.11 ,"1,160",0.02 ,"1,040",0.02 ,"1,770",0.03 ,160,0.00 ,"1,770",0.03 ,"3,260",0.06 ,"1,500",0.03 ,620,0.01 ,230,0%,910,0.02 ,"4,640",0.09 ,"1,030",0.02 ,"3,600",0.07 ,"6,340",0.12 ,"35,680","1,100","1,780","9,990","3,210","6,060","6,060","1,020","18,030","2,880","3,390","4,730",820,"3,480","5,290","37,350",72%,240,0%,"1,780",0.03 ,"3,010",0.06 ,"6,730",0.13 ,"2,650",0.05 ,290,0.01 ,"10,060",0.19 ,"16,610",0.32 ,"11,920",0.23 ,"7,420",0.14 ,"3,850",0.07 ,"1,140",0.02 ,330,0.01 ,150,0.00 ,"1,100",0.05 ,"11,500",0.45 ,320,0.01 ,"19,770",0.75 ,"12,650",0.49 ,630,0.02 ,3120,0.13 ,1860,0.07 ,390,0.01 ,380,0.01 ,30,0.00 ,51760,10960,8310,1890,760,4020,1510,1050,1450,240,16580,5650,1890,3260,2460,790,460,2050,1280,370,400,
-,Rest of England,"227,350","216,810","121,400","95,410","170,970",0.79 ,"161,220",0.74 ,"1,220",0.01 ,720,0.00 ,"7,810",0.04 ,"10,290",0.05 ,"6,320",0.03 ,"2,740",0.01 ,"1,240",0.01 ,"9,260",0.04 ,"4,320",0.02 ,"1,550",0.01 ,"1,040",0.00 ,220,0.00 ,"2,130",0.01 ,"5,210",0.02 ,"2,870",0.01 ,810,0.00 ,710,0%,830,0.00 ,"4,080",0.02 ,"1,370",0.01 ,"2,710",0.01 ,"17,000",0.08 ,"149,540","2,910","5,530","51,850","6,980","26,340","19,750","2,990","86,610","8,320","16,060","33,570","4,760","8,170","10,250","192,930",89%,410,0%,"6,190",0.03 ,"3,510",0.02 ,"10,010",0.05 ,"3,760",0.02 ,"2,340",0.01 ,"48,770",0.22 ,"69,330",0.32 ,"48,720",0.22 ,"28,350",0.13 ,"13,110",0.06 ,"4,340",0.02 ,"1,800",0.01 ,40,0.00 ,"5,020",0.05 ,"41,300",0.39 ,120,0.00 ,"98,140",0.88 ,"47,130",0.44 ,710,0.00 ,11060,0.11 ,10740,0.10 ,1190,0.01 ,1340,0.01 ,60,0.00 ,216810,37670,31240,4120,2310,21290,5280,7280,8730,2820,59470,24920,3990,30200,9260,2500,2030,10350,7350,1460,1560,12340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"15,320","14,730","7,560","7,180","13,190",0.90 ,"12,930",0.88 ,40,0.00 ,10,0.00 ,230,0.02 ,210,0.01 ,190,0.01 ,10,0.00 ,10,0.00 ,290,0.02 ,70,0.00 ,30,0.00 ,60,0.00 ,10,0.00 ,130,0.01 ,100,0.01 ,20,0.00 ,20,0.00 ,20,0%,40,0.00 ,200,0.01 ,80,0.01 ,120,0.01 ,740,0.05 ,"9,960",180,310,"4,220",60,"1,330",860,120,"7,220",150,480,"1,840",230,450,"2,060","13,930",95%,0,0%,160,0.01 ,100,0.01 ,500,0.03 ,40,0.00 ,100,0.01 ,"3,300",0.22 ,"5,030",0.34 ,"3,480",0.24 ,"1,810",0.12 ,710,0.05 ,240,0.02 ,70,0.00 ,0,0.00 ,400,0.06 ,"2,120",0.29 ,0,0.00 ,"7,560",1.01 ,"3,500",0.47 ,20,0.00 ,380,0.05 ,570,0.08 ,80,0.01 ,110,0.01 ,0,0.00 ,14740,2650,2520,100,20,1540,460,430,640,280,4320,2000,150,1570,510,120,220,1020,770,110,150,370
E12000002,North West,"39,330","37,930","22,240","15,690","30,040",0.79 ,"28,850",0.76 ,260,0.01 ,120,0.00 ,820,0.02 ,"1,810",0.05 ,"1,250",0.03 ,280,0.01 ,290,0.01 ,"1,790",0.05 ,960,0.03 ,170,0.00 ,190,0.01 ,40,0.00 ,420,0.01 ,680,0.02 ,380,0.01 ,160,0.00 ,120,0%,20,0.00 ,"1,160",0.03 ,480,0.01 ,680,0.02 ,"2,450",0.06 ,"30,010",640,910,"6,370",10,"4,590","2,850",560,"16,180","1,290","2,410","6,690",700,"1,530","1,160","33,920",89%,90,0%,750,0.02 ,750,0.02 ,"2,410",0.06 ,10,0.00 ,320,0.01 ,"8,240",0.22 ,"12,530",0.33 ,"8,690",0.23 ,"5,120",0.13 ,"2,130",0.06 ,610,0.02 ,270,0.01 ,0,0.00 ,820,0.05 ,"6,860",0.38 ,20,0.00 ,"18,200",0.93 ,"8,020",0.43 ,100,0.00 ,1700,0.10 ,1760,0.10 ,220,0.01 ,240,0.01 ,0,0.00 ,37930,5520,4810,460,250,3290,300,1760,1240,440,9680,4520,640,7370,1410,360,710,2070,1300,380,390,1950
E12000003,Yorkshire and The Humber,"27,580","26,800","13,320","13,480","21,370",0.80 ,"20,390",0.76 ,100,0.00 ,50,0.00 ,830,0.03 ,"1,150",0.04 ,790,0.03 ,270,0.01 ,90,0.00 ,"1,570",0.06 ,970,0.04 ,100,0.00 ,110,0.00 ,30,0.00 ,360,0.01 ,690,0.03 ,380,0.01 ,90,0.00 ,110,0%,120,0.00 ,660,0.02 ,200,0.01 ,450,0.02 ,"1,370",0.05 ,"16,700",320,390,"9,370",20,"2,900","2,070",450,"11,900","1,070","1,990","4,190",470,"1,030",750,"23,990",90%,30,0%,810,0.03 ,340,0.01 ,"1,350",0.05 ,270,0.01 ,510,0.02 ,"6,160",0.23 ,"8,750",0.33 ,"6,200",0.23 ,"3,320",0.12 ,"1,300",0.05 ,420,0.02 ,160,0.01 ,0,0.00 ,720,0.05 ,"5,120",0.38 ,0,0.00 ,"12,330",0.92 ,"5,920",0.44 ,20,0.00 ,1170,0.09 ,1200,0.09 ,150,0.01 ,170,0.01 ,0,0.00 ,26800,3770,3320,290,150,2730,1020,450,1260,380,7610,3890,550,3860,900,140,450,1500,1160,170,180,1040
E12000004,East Midlands,"20,740","20,180","10,870","9,310","15,920",0.79 ,"14,820",0.73 ,90,0.00 ,50,0.00 ,960,0.05 ,"1,140",0.06 ,720,0.04 ,300,0.01 ,130,0.01 ,"1,030",0.05 ,290,0.01 ,390,0.02 ,70,0.00 ,30,0.00 ,240,0.01 ,670,0.03 ,400,0.02 ,90,0.00 ,60,0%,120,0.01 ,310,0.02 ,90,0.00 ,210,0.01 ,"1,110",0.06 ,"15,570",270,490,"3,820",30,"2,530","1,970",220,"8,340",570,"1,730","2,900",440,590,890,"17,980",89%,40,0%,780,0.04 ,340,0.02 ,990,0.05 ,50,0.00 ,110,0.01 ,"4,850",0.24 ,"6,350",0.31 ,"4,580",0.23 ,"2,540",0.13 ,"1,190",0.06 ,380,0.02 ,180,0.01 ,0,0.00 ,430,0.05 ,"4,200",0.43 ,40,0.00 ,"8,840",0.86 ,"4,310",0.43 ,220,0.02 ,1070,0.11 ,840,0.08 ,120,0.01 ,110,0.01 ,0,0.00 ,20180,3490,2850,470,180,2080,700,610,780,280,5960,2280,350,2380,770,280,210,950,690,120,150,1160
E12000005,West Midlands,"26,640","25,100","16,410","8,690","16,810",0.67 ,"15,630",0.62 ,140,0.01 ,60,0.00 ,980,0.04 ,"2,080",0.08 ,"1,060",0.04 ,800,0.03 ,230,0.01 ,"1,920",0.08 ,990,0.04 ,380,0.02 ,210,0.01 ,20,0.00 ,320,0.01 ,"1,090",0.04 ,680,0.03 ,70,0.00 ,130,1%,200,0.01 ,580,0.02 ,150,0.01 ,430,0.02 ,"2,630",0.10 ,"14,920",300,450,"4,520","4,900","3,150","2,410",410,"11,510",710,"1,340","2,960",460,870,"1,300","20,910",83%,60,0%,710,0.03 ,310,0.01 ,"1,850",0.07 ,"1,260",0.05 ,310,0.01 ,"5,690",0.23 ,"8,540",0.34 ,"5,680",0.23 ,"2,900",0.12 ,"1,380",0.05 ,420,0.02 ,180,0.01 ,0,0.00 ,580,0.05 ,"5,900",0.49 ,0,0.00 ,"10,020",0.75 ,"5,500",0.44 ,30,0.00 ,1580,0.14 ,1190,0.10 ,150,0.01 ,150,0.01 ,10,0.00 ,25100,4540,3550,800,190,2950,960,910,1100,420,8080,2820,370,2410,610,380,270,720,510,100,110,1540
E12000006,East of England,"28,460","26,840","15,020","11,820","20,730",0.77 ,"18,920",0.70 ,180,0.01 ,140,0.01 ,"1,480",0.06 ,"1,390",0.05 ,780,0.03 ,440,0.02 ,170,0.01 ,940,0.04 ,410,0.02 ,130,0.00 ,200,0.01 ,20,0.00 ,190,0.01 ,620,0.02 ,340,0.01 ,90,0.00 ,90,0%,110,0.00 ,300,0.01 ,90,0.00 ,200,0.01 ,"2,860",0.11 ,"17,050",310,780,"7,070","1,620","3,730","2,770",390,"9,760","1,350","2,260","3,960",670,"1,020",910,"23,420",87%,70,0%,"1,100",0.04 ,530,0.02 ,810,0.03 ,910,0.03 ,270,0.01 ,"6,310",0.24 ,"8,230",0.31 ,"5,800",0.22 ,"3,630",0.14 ,"1,760",0.07 ,610,0.02 ,210,0.01 ,10,0.00 ,600,0.04 ,"5,330",0.41 ,0,0.00 ,"11,720",0.85 ,"5,790",0.43 ,100,0.00 ,1510,0.12 ,1480,0.11 ,130,0.01 ,180,0.01 ,10,0.00 ,26840,4670,3650,620,410,2830,630,1050,1150,300,7740,2820,560,3600,1240,420,70,1110,790,150,160,1500
