homeless_rate,Income_deprivation_score_2019,GDP,earnings,house_price,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,16-17,18-24,25-34,35-44,45-54,55-64,65-74,75+
2.165547541,0.108,2.1789,2.72 ,3.17 ,0.92 ,0.03 ,0.00 ,0.01 ,0.16 ,0.12 ,0.00 ,0.22 ,0.03 ,0.17 ,0.28 ,0.01 ,0.00 ,0.22 ,0.28 ,0.27 ,0.12 ,0.09 ,0.01 ,0.01 
3.081604297,0.109,2.4865,2.83 ,1.70 ,0.96 ,0.02 ,0.01 ,0.01 ,0.09 ,0.09 ,0.00 ,0.42 ,0.03 ,0.08 ,0.23 ,0.02 ,0.00 ,0.25 ,0.33 ,0.20 ,0.13 ,0.07 ,0.01 ,0.01 
3.587321487,0.104,1.8389,2.52 ,2.82 ,0.95 ,0.01 ,0.01 ,0.01 ,0.11 ,0.11 ,0.01 ,0.30 ,0.03 ,0.08 ,0.27 ,0.03 ,0.00 ,0.23 ,0.29 ,0.21 ,0.17 ,0.07 ,0.03 ,0.01 
2.711610837,0.152,2.5506,2.74 ,1.43 ,0.92 ,0.01 ,0.01 ,0.00 ,0.13 ,0.12 ,0.00 ,0.48 ,0.00 ,0.06 ,0.09 ,0.02 ,0.00 ,0.29 ,0.30 ,0.21 ,0.12 ,0.05 ,0.02 ,0.00 
4.289486941,0.11,2.8532,2.88 ,2.80 ,0.87 ,0.04 ,0.01 ,0.02 ,0.11 ,0.14 ,0.02 ,0.37 ,0.04 ,0.10 ,0.11 ,0.02 ,0.01 ,0.27 ,0.34 ,0.19 ,0.12 ,0.04 ,0.02 ,0.01 
3.418342589,0.08,2.3061,2.66 ,2.75 ,0.75 ,0.01 ,0.00 ,0.00 ,0.15 ,0.15 ,0.01 ,0.26 ,0.01 ,0.12 ,0.23 ,0.05 ,0.01 ,0.23 ,0.28 ,0.19 ,0.14 ,0.10 ,0.04 ,0.01 
6.571480615,0.194,1.9934,3.28 ,3.20 ,0.44 ,0.27 ,0.13 ,0.02 ,0.13 ,0.13 ,0.02 ,0.23 ,0.10 ,0.20 ,0.10 ,0.01 ,0.01 ,0.23 ,0.35 ,0.24 ,0.11 ,0.05 ,0.01 ,0.00 
5.087630042,0.111,2.7311,3.20 ,5.55 ,0.38 ,0.24 ,0.17 ,0.09 ,0.12 ,0.15 ,0.03 ,0.28 ,0.05 ,0.07 ,0.13 ,0.02 ,0.00 ,0.16 ,0.28 ,0.25 ,0.18 ,0.08 ,0.03 ,0.01 
3.148292223,0.169,1.9445,2.70 ,1.29 ,0.90 ,0.02 ,0.01 ,0.01 ,0.08 ,0.06 ,0.01 ,0.64 ,0.01 ,0.04 ,0.13 ,0.02 ,0.01 ,0.24 ,0.33 ,0.24 ,0.12 ,0.04 ,0.01 ,0.01 
4.301171957,0.159,3.0828,3.63 ,1.25 ,0.99 ,0.00 ,0.00 ,0.00 ,0.07 ,0.08 ,0.01 ,0.41 ,0.06 ,0.04 ,0.26 ,0.03 ,0.00 ,0.34 ,0.24 ,0.23 ,0.12 ,0.03 ,0.02 ,0.01 
3.476258011,0.138,3.4973,3.19 ,3.00 ,0.86 ,0.06 ,0.01 ,0.02 ,0.13 ,0.10 ,0.01 ,0.27 ,0.01 ,0.15 ,0.24 ,0.02 ,0.01 ,0.29 ,0.31 ,0.18 ,0.12 ,0.06 ,0.02 ,0.00 
2.177092709,0.071,4.4484,3.60 ,3.05 ,0.68 ,0.04 ,0.01 ,0.03 ,0.10 ,0.11 ,0.02 ,0.55 ,0.03 ,0.06 ,0.09 ,0.02 ,0.01 ,0.26 ,0.29 ,0.23 ,0.13 ,0.05 ,0.02 ,0.01 
1.944538383,0.122,2.3271,2.65 ,1.55 ,0.96 ,0.01 ,0.00 ,0.00 ,0.08 ,0.05 ,0.00 ,0.61 ,0.02 ,0.06 ,0.15 ,0.02 ,0.00 ,0.19 ,0.29 ,0.26 ,0.16 ,0.07 ,0.02 ,0.00 
2.026920354,0.079,2.6427,3.05 ,3.20 ,0.83 ,0.02 ,0.01 ,0.01 ,0.13 ,0.12 ,0.00 ,0.25 ,0.01 ,0.11 ,0.19 ,0.04 ,0.00 ,0.21 ,0.29 ,0.21 ,0.18 ,0.07 ,0.03 ,0.01 
6.165312817,0.114,2.8926,3.20 ,2.70 ,0.69 ,0.06 ,0.07 ,0.04 ,0.15 ,0.10 ,0.01 ,0.35 ,0.05 ,0.13 ,0.13 ,0.02 ,0.00 ,0.23 ,0.31 ,0.26 ,0.13 ,0.05 ,0.02 ,0.01 
3.152815271,0.106,2.9819,3.09 ,3.66 ,0.65 ,0.21 ,0.04 ,0.03 ,0.12 ,0.12 ,0.03 ,0.39 ,0.04 ,0.12 ,0.09 ,0.02 ,0.00 ,0.25 ,0.31 ,0.23 ,0.14 ,0.05 ,0.02 ,0.00 
4.194559523,0.222,2.7003,3.32 ,1.80 ,0.34 ,0.21 ,0.21 ,0.06 ,0.10 ,0.10 ,0.01 ,0.54 ,0.02 ,0.00 ,0.07 ,0.01 ,0.01 ,0.14 ,0.42 ,0.25 ,0.11 ,0.06 ,0.01 ,0.00 
3.472290338,0.069,4.0282,3.10 ,2.23 ,0.85 ,0.04 ,0.04 ,0.04 ,0.16 ,0.13 ,0.01 ,0.29 ,0.04 ,0.07 ,0.12 ,0.02 ,0.00 ,0.20 ,0.34 ,0.24 ,0.12 ,0.06 ,0.02 ,0.01 
5.898820236,0.212,2.3885,2.48 ,1.15 ,0.77 ,0.02 ,0.15 ,0.01 ,0.07 ,0.06 ,0.06 ,0.35 ,0.05 ,0.09 ,0.19 ,0.02 ,0.04 ,0.25 ,0.33 ,0.19 ,0.12 ,0.05 ,0.01 ,0.01 
7.98520028,0.247,2.3099,2.48 ,1.15 ,0.92 ,0.00 ,0.00 ,0.00 ,0.04 ,0.03 ,0.01 ,0.44 ,0.02 ,0.04 ,0.32 ,0.02 ,0.01 ,0.19 ,0.31 ,0.25 ,0.15 ,0.06 ,0.02 ,0.01 
1.205337925,0.147,2.9528,2.76 ,1.25 ,1.00 ,0.00 ,0.00 ,0.00 ,0.08 ,0.05 ,0.00 ,0.41 ,0.02 ,0.13 ,0.19 ,0.04 ,0.00 ,0.23 ,0.31 ,0.19 ,0.15 ,0.06 ,0.03 ,0.02 
5.148344481,0.186,2.3623,2.54 ,1.40 ,0.77 ,0.06 ,0.09 ,0.02 ,0.09 ,0.06 ,0.01 ,0.36 ,0.02 ,0.16 ,0.18 ,0.01 ,0.00 ,0.24 ,0.33 ,0.23 ,0.13 ,0.04 ,0.02 ,0.00 
