Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
139.000000 ,1526.000000 ,0.108000 ,21789.000000 ,27196.000000 ,317250.000000 ,0.920000 ,0.030000 ,0.000000 ,0.010000 ,0.158300 ,0.122300 ,0.000000 ,0.215800 ,0.028800 ,0.172700 ,0.280600 ,0.014400 
397.000000 ,485.000000 ,0.109000 ,24865.000000 ,28285.000000 ,170000.000000 ,0.960000 ,0.020000 ,0.010000 ,0.010000 ,0.090700 ,0.085600 ,0.002500 ,0.423200 ,0.032700 ,0.075600 ,0.226700 ,0.015100 
578.000000 ,729.000000 ,0.104000 ,18389.000000 ,25208.000000 ,282000.000000 ,0.950000 ,0.010000 ,0.010000 ,0.010000 ,0.114200 ,0.114200 ,0.005200 ,0.304500 ,0.031100 ,0.076100 ,0.268200 ,0.027700 
348.000000 ,1171.000000 ,0.152000 ,25506.000000 ,27374.000000 ,143000.000000 ,0.920000 ,0.010000 ,0.010000 ,0.000000 ,0.132200 ,0.120700 ,0.002900 ,0.482800 ,0.002900 ,0.060300 ,0.086200 ,0.020100 
562.000000 ,226.000000 ,0.110000 ,28532.000000 ,28754.000000 ,280000.000000 ,0.870000 ,0.040000 ,0.010000 ,0.020000 ,0.108500 ,0.137000 ,0.017800 ,0.373700 ,0.044500 ,0.103200 ,0.110300 ,0.024900 
317.000000 ,156.000000 ,0.080000 ,23061.000000 ,26612.000000 ,274750.000000 ,0.750000 ,0.010000 ,0.000000 ,0.000000 ,0.145100 ,0.148300 ,0.006300 ,0.261800 ,0.006300 ,0.119900 ,0.233400 ,0.050500 
1407.000000 ,5931.000000 ,0.194000 ,19934.000000 ,32821.000000 ,320000.000000 ,0.440000 ,0.270000 ,0.130000 ,0.020000 ,0.125100 ,0.126500 ,0.019900 ,0.228100 ,0.098800 ,0.198300 ,0.099500 ,0.010000 
2030.000000 ,4599.000000 ,0.111000 ,27311.000000 ,32030.000000 ,555000.000000 ,0.380000 ,0.240000 ,0.170000 ,0.090000 ,0.119700 ,0.149300 ,0.026600 ,0.277800 ,0.052700 ,0.070400 ,0.132000 ,0.023200 
781.000000 ,754.000000 ,0.169000 ,19445.000000 ,27048.000000 ,129000.000000 ,0.900000 ,0.020000 ,0.010000 ,0.010000 ,0.081900 ,0.055100 ,0.010200 ,0.636400 ,0.007700 ,0.037100 ,0.126800 ,0.020500 
287.000000 ,857.000000 ,0.159000 ,30828.000000 ,36340.000000 ,125000.000000 ,0.990000 ,0.000000 ,0.000000 ,0.000000 ,0.073200 ,0.080100 ,0.013900 ,0.414600 ,0.059200 ,0.038300 ,0.257800 ,0.027900 
